node,node_bef_goal,path,path_len,time
2102,1420,D-RD,4,0.0119998455048
2103,1420,D-RD,4,0.00999999046326
2104,1013,-UR-L,5,0.0450000762939
2110,1420,RRD,3,0.00200009346008
2111,2341,RULL-,5,0.0279998779297
2112,2341,RULL-,5,0.0269999504089
2113,2341,RULL-,5,0.029000043869
2114,1420,UULUD,5,0.0190000534058
2120,1013,RRR-L,5,0.0299999713898
2121,1013,DR-L,4,0.0110001564026
2122,1420,DR-DD,5,0.0369999408722
2123,2341,UU-R-,5,0.0190000534058
2124,1420,UUUDD,5,0.0169999599457
2130,2341,L-,2,0.000999927520752
2131,2341,LUR-,4,0.0120000839233
2132,2341,LUR-,4,0.0139999389648
2133,2341,LUR-,4,0.0120000839233
2134,1013,U--L,4,0.00699996948242
2140,1420,URRD,4,0.00499987602234
2141,1013,-DL,3,0.00400018692017
2142,2341,UDR-,4,0.00599980354309
2143,2341,UDR-,4,0.00600004196167
2144,2341,URUR-,5,0.0199999809265
2200,1013,RR-L,4,0.00800013542175
2201,1420,L-RD,4,0.0119998455048
2202,1420,URRDD,5,0.0210001468658
2203,2341,-LR-,4,0.0149998664856
2204,2341,--D-,4,0.0170001983643
2210,1420,RDLD,4,0.00999999046326
2211,1420,RDRD,4,0.00799989700317
2212,1420,RDRD,4,0.0090000629425
2213,1420,RDRD,4,0.00899982452393
2214,1420,RDRD,4,0.0090000629425
2220,1420,DLRD,4,0.0110001564026
2221,2341,URDL-,5,0.0199999809265
2222,2341,URDL-,5,0.0189998149872
2223,2341,LLL-,4,0.0140001773834
2224,1420,UUUDD,5,0.0179998874664
2230,2341,RUL-,4,0.00699996948242
2231,2341,URLD-,5,0.0209999084473
2232,2341,URLD-,5,0.0199999809265
2233,2341,-LR-,4,0.0199999809265
2234,2341,URLD-,5,0.0199999809265
2240,1420,RD,2,0.0
2241,2341,UR-,3,0.0
2242,2341,UR-,3,0.0
2243,2341,UR-,3,0.0
2244,2341,UR-,3,0.0
2300,1420,U-LRD,5,0.0330002307892
2301,1420,RDD,3,0.000999927520752
2302,1420,RDD,3,0.0
2303,1420,RDD,3,0.0
2304,1420,RDD,3,0.0
2310,2341,-UD-,4,0.0199999809265
2311,1013,RLLL,4,0.00999999046326
2312,1013,RLLL,4,0.010999917984
2313,1013,RLLL,4,0.0090000629425
2314,1013,RLLL,4,0.00799989700317
2320,1420,RLRDD,5,0.0300002098083
2321,2341,DL-,3,0.0
2322,2341,URDL-,5,0.0199999809265
2323,1420,L--D,4,0.0199999809265
2324,2341,-RR-,4,0.00999999046326
2330,2341,RUL-,4,0.00999999046326
2331,2341,LD-,3,0.0
2332,2341,URLD-,5,0.0199999809265
2333,2341,UU-R-,5,0.0199999809265
2334,2341,-RR-,4,0.0199999809265
2340,1420,U-LRD,5,0.0199999809265
2341,2341,-,1,0.0
2342,2341,UR-,3,0.0
2343,2341,UR-,3,0.0
2344,2341,UR-,3,0.00999999046326
2400,2341,RRUL-,5,0.0199999809265
2401,1420,-RD,3,0.00999999046326
2402,1420,-RD,3,0.0
2403,2341,UU-R-,5,0.0230000019073
2404,1013,--UL,4,0.00800013542175
2410,1420,DRDRD,5,0.039999961853
2411,2341,RULL-,5,0.0299999713898
2412,2341,-UR-,4,0.00999999046326
2413,2341,RULL-,5,0.0299999713898
2414,2341,LL-,3,0.00999999046326
2420,1420,UUDUDD,6,0.0499999523163
2421,1420,RRDD,4,0.0
2422,1420,RRDD,4,0.00999999046326
2423,1420,RRDD,4,0.00999999046326
2424,1420,RRDD,4,0.0100002288818
2430,1013,R-L,3,0.0
2431,1420,R-DD,4,0.00999999046326
2432,1420,R-DD,4,0.00999999046326
2433,1420,R-DD,4,0.00999999046326
2434,1013,U--L,4,0.00999999046326
2440,1420,URRD,4,0.0
2441,1420,DRD,3,0.0
2442,2341,UDR-,4,0.00999999046326
2443,2341,UDR-,4,0.0
2444,2341,DUR-,4,0.00999999046326
3000,2341,RLUR-,5,0.0199999809265
3001,2341,DRL-,4,0.00999999046326
3002,1420,RU-UD,5,0.0299999713898
3003,2341,-RL-,4,0.0199999809265
3004,1420,-UD,3,0.0
3010,2341,RDUR-,5,0.0199999809265
3011,1420,-RDD,4,0.0199999809265
3012,1420,-RDD,4,0.00999999046326
3013,1013,ULDUL,5,0.0299999713898
3014,1013,DR-DL,5,0.0400002002716
3020,1420,RDRDD,5,0.0199999809265
3021,1420,-RDD,4,0.00999999046326
3022,1420,-RDD,4,0.0199999809265
3023,1013,UUL,3,0.0
3024,1420,DUD-D,5,0.0299999713898
3030,1420,UL-D,4,0.00999999046326
3031,1420,ULUD,4,0.0
3032,1420,-RDD,4,0.0250000953674
3033,2341,UUUD-,5,0.0179998874664
3034,1420,UDUD,4,0.00399994850159
3040,2341,LLR-,4,0.00999999046326
3041,2341,LLR-,4,0.00999999046326
3042,2341,LLR-,4,0.0199999809265
3043,1013,UUDLL,5,0.0199999809265
3044,2341,LLR-,4,0.00999999046326
3100,2341,RRUL-,5,0.0310001373291
3101,1013,--L,3,0.0
3102,2341,U-R-,4,0.00999999046326
3103,2341,DU-R-,5,0.0299999713898
3104,2341,LRL-,4,0.0169999599457
3110,1420,RRD,3,0.0
3111,2341,RUR-,4,0.0
3112,2341,DR-,3,0.00999999046326
3113,2341,DR-,3,0.0
3114,2341,DR-,3,0.0
3120,2341,UUUL-,5,0.0199999809265
3121,2341,URLR-,5,0.0199999809265
3122,2341,U-R-,4,0.00999999046326
3123,2341,URLR-,5,0.0200002193451
3124,2341,URLR-,5,0.0199999809265
3130,1420,RRDLD,5,0.0299999713898
3131,1420,ULUD,4,0.0
3132,1420,UDD-D,5,0.0199999809265
3133,1420,UDDUD,5,0.0299999713898
3134,1013,UUL-L,5,0.00999999046326
3140,1420,UDUDD,5,0.0299999713898
3141,1420,UUDD,4,0.0
3142,2341,U-R-,4,0.00999999046326
3143,2341,DU-R-,5,0.0320000648499
3144,2341,DRDL-,5,0.039999961853
3200,1013,RR-L,4,0.0
3201,1013,UULLL,5,0.0199999809265
3202,2341,UDRR-,5,0.0199999809265
3203,2341,UDRR-,5,0.0199999809265
3204,1420,RR-DD,5,0.0299999713898
3210,1420,RURRD,5,0.0300002098083
3211,1420,RDRD,4,0.00999999046326
3212,1420,RDRD,4,0.00999999046326
3213,1420,RDRD,4,0.00999999046326
3214,1420,RDRD,4,0.00999999046326
3220,2341,LR-,3,0.0
3221,2341,LR-,3,0.0
3222,2341,LR-,3,0.00999999046326
3223,2341,LR-,3,0.0
3224,1420,R-RD,4,0.00999999046326
3230,1420,U-LUD,5,0.0199999809265
3231,2341,LU-R-,5,0.039999961853
3232,1420,ULLUD,5,0.0299999713898
3233,1420,UD-D,4,0.0
3234,1420,UDUD,4,0.00999999046326
3240,2341,DLLR-,5,0.039999961853
3241,1420,UUDD,4,0.00999999046326
3242,1420,RRRDD,5,0.0299999713898
3243,2341,UL-R-,5,0.0200002193451
3244,1420,U-DRD,5,0.0299999713898
3300,2341,RL-,3,0.0
3301,1013,UULLL,5,0.00999999046326
3302,1013,D--L,4,0.00999999046326
3303,1420,L-UD,4,0.0199999809265
3304,2341,RLUR-,5,0.0299999713898
3310,2341,DDR-,4,0.00999999046326
3311,1013,R-DL,4,0.0160000324249
3312,1013,R-DL,4,0.00300002098083
3313,1013,R-DL,4,0.00999999046326
3314,1013,R-DL,4,0.00999999046326
3320,2341,UUUL-,5,0.0199999809265
3321,1013,UDDUL,5,0.0199999809265
3322,1420,RLRDD,5,0.0299999713898
3323,2341,UL-R-,5,0.0299999713898
3324,1013,UD-UL,5,0.0299999713898
3330,1420,RRRD,4,0.00999999046326
3331,2341,LLLR-,5,0.0440001487732
3332,1420,ULLUD,5,0.0299999713898
3333,1420,UD-D,4,0.0
3334,1420,UDUD,4,0.00999999046326
3340,1420,L-RDD,5,0.039999961853
3341,1420,UUDD,4,0.0
3342,1013,LUUL,4,0.0199999809265
3343,2341,UL-R-,5,0.0199999809265
3344,1420,U-DRD,5,0.0299999713898
3400,1013,L--L,4,0.00999999046326
3401,2341,RLD-,4,0.0100002288818
3402,2341,U-R-,4,0.00999999046326
3403,2341,RLD-,4,0.00999999046326
3404,2341,RLD-,4,0.00999999046326
3410,1420,-LRD,4,0.00999999046326
3411,2341,R-,2,0.0
3412,2341,R-,2,0.0
3413,2341,R-,2,0.0
3414,2341,R-,2,0.0
3420,1420,-LRD,4,0.0239999294281
3421,1420,RRDD,4,0.00999999046326
3422,2341,U-R-,4,0.0
3423,1420,RRDD,4,0.00999999046326
3424,1420,RRDD,4,0.00999999046326
3430,2341,R-UD-,5,0.0299999713898
3431,1420,ULUD,4,0.00999999046326
3432,2341,DLR-,4,0.00999999046326
3433,2341,DLR-,4,0.00999999046326
3434,2341,DLR-,4,0.00999999046326
3440,1420,UDUDD,5,0.0199999809265
3441,1420,UUDD,4,0.0100002288818
